Round,Peptide index,Debug,Affinity
1,1,Anchor tolerance violated in positions 1 and 8 and 9,-
1,2,Anchor tolerance violated in positions 1 and 8 and 9,-
1,3,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,4,Anchor tolerance violated in positions 1 and 8 and 9,-
1,5,Anchor tolerance violated in positions 8 and 9,-
1,6,Anchor tolerance violated in positions 2 and 8 and 9,-
1,7,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,8,Anchor tolerance violated in positions 2 and 8 and 9,-
1,9,Anchor tolerance violated in positions 1 and 8 and 9,-
1,10,Anchor tolerance violated in positions 8 and 9,-
1,11,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,12,Anchor tolerance violated in positions 1 and 8 and 9,-
1,13,Anchor tolerance violated in positions 2 and 8 and 9,-
1,14,Anchor tolerance violated in positions 8 and 9,-
1,15,Anchor tolerance violated in positions 1 and 8 and 9,-
1,16,Anchor tolerance violated in positions 1 and 8 and 9,-
1,17,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,18,Anchor tolerance violated in positions 8 and 9,-
1,19,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,20,Anchor tolerance violated in positions 1 and 8 and 9,-
1,21,Anchor tolerance violated in positions 1 and 8 and 9,-
1,22,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,23,Anchor tolerance violated in positions 1 and 8 and 9,-
1,24,Anchor tolerance violated in positions 1 and 8 and 9,-
1,25,Anchor tolerance violated in positions 2 and 8 and 9,-
1,26,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,27,Anchor tolerance violated in positions 2 and 8 and 9,-
1,28,Anchor tolerance violated in positions 8 and 9,-
1,29,Anchor tolerance violated in positions 8 and 9,-
1,30,Anchor tolerance violated in positions 1 and 8 and 9,-
1,31,Anchor tolerance violated in positions 1 and 8 and 9,-
1,32,Anchor tolerance violated in positions 1 and 8 and 9,-
1,33,Anchor tolerance violated in positions 8 and 9,-
1,34,Anchor tolerance violated in positions 1 and 8 and 9,-
1,35,Anchor tolerance violated in positions 8 and 9,-
1,36,Anchor tolerance violated in positions 2 and 8 and 9,-
1,37,Anchor tolerance violated in positions 1 and 8 and 9,-
1,38,Anchor tolerance violated in positions 1 and 8 and 9,-
1,39,Anchor tolerance violated in positions 2 and 8 and 9,-
1,40,Anchor tolerance violated in positions 8 and 9,-
1,41,Anchor tolerance violated in positions 8 and 9,-
1,42,Anchor tolerance violated in positions 2 and 8 and 9,-
1,43,Anchor tolerance violated in positions 8 and 9,-
1,44,Anchor tolerance violated in positions 1 and 8 and 9,-
1,45,Anchor tolerance violated in positions 8 and 9,-
1,46,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,47,Anchor tolerance violated in positions 1 and 8 and 9,-
1,48,Anchor tolerance violated in positions 1 and 8 and 9,-
1,49,Anchor tolerance violated in positions 8 and 9,-
1,50,Anchor tolerance violated in positions 1 and 8 and 9,-
1,51,Anchor tolerance violated in positions 8 and 9,-
1,52,Anchor tolerance violated in positions 8 and 9,-
1,53,Anchor tolerance violated in positions 1 and 8 and 9,-
1,54,Anchor tolerance violated in positions 1 and 8 and 9,-
1,55,Anchor tolerance violated in positions 2 and 8 and 9,-
1,56,Anchor tolerance violated in positions 2 and 8 and 9,-
1,57,Anchor tolerance violated in positions 1 and 8 and 9,-
1,58,Successfully Modeled,-40.6680946
1,59,Anchor tolerance violated in positions 8 and 9,-
1,60,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,61,Anchor tolerance violated in positions 8 and 9,-
1,62,Anchor tolerance violated in positions 8 and 9,-
1,63,Anchor tolerance violated in positions 2 and 8 and 9,-
1,64,Anchor tolerance violated in positions 1 and 2,-
1,65,Anchor tolerance violated in positions 8 and 9,-
1,66,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,67,Anchor tolerance violated in positions 1 and 8 and 9,-
1,68,Anchor tolerance violated in positions 1 and 8 and 9,-
1,69,Successfully Modeled,-27.3284035
1,70,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,71,Anchor tolerance violated in positions 1 and 8 and 9,-
1,72,Anchor tolerance violated in positions 8 and 9,-
1,73,Anchor tolerance violated in positions 1 and 8 and 9,-
1,74,Anchor tolerance violated in positions 1 and 8 and 9,-
1,75,Anchor tolerance violated in positions 1 and 8 and 9,-
1,76,Anchor tolerance violated in positions 1 and 8 and 9,-
1,77,Anchor tolerance violated in positions 1 and 8 and 9,-
1,78,Anchor tolerance violated in positions 1 and 8 and 9,-
1,79,Anchor tolerance violated in positions 1 and 8 and 9,-
1,80,Anchor tolerance violated in positions 9,-
1,81,Anchor tolerance violated in positions 1 and 8 and 9,-
1,82,Anchor tolerance violated in positions 1 and 8 and 9,-
1,83,Anchor tolerance violated in positions 8 and 9,-
1,84,Anchor tolerance violated in positions 8 and 9,-
1,85,Anchor tolerance violated in positions 8 and 9,-
1,86,Anchor tolerance violated in positions 1 and 8 and 9,-
1,87,Anchor tolerance violated in positions 1 and 8 and 9,-
1,88,Anchor tolerance violated in positions 1 and 8 and 9,-
1,89,Anchor tolerance violated in positions 1 and 8 and 9,-
1,90,Anchor tolerance violated in positions 8 and 9,-
1,91,Anchor tolerance violated in positions 8 and 9,-
1,92,Anchor tolerance violated in positions 1 and 2 and 8 and 9,-
1,93,Anchor tolerance violated in positions 1 and 8 and 9,-
1,94,Anchor tolerance violated in positions 1 and 8 and 9,-
1,95,Anchor tolerance violated in positions 1 and 8 and 9,-
1,96,Anchor tolerance violated in positions 1 and 8 and 9,-
1,97,Anchor tolerance violated in positions 1 and 8 and 9,-
1,98,Anchor tolerance violated in positions 2 and 8 and 9,-
1,99,Anchor tolerance violated in positions 2 and 8 and 9,-
1,100,Anchor tolerance violated in positions 8 and 9,-
